pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file,region,salinity_mean,salinity_std,temp_mean,temp_std,salinity_z,temp_z,salinity_flag,temp_flag
"(550, 600]",6.014,34.37,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.01885197709923,3.92456099165717,5.044677724427481,3.2075618755878224,0.0894744720867471,0.3021990886441996,normal,normal
"(600, 650]",5.4635,34.3625,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.0064714,3.9385444104857847,4.79448424,2.9829020878639323,0.09039598463130744,0.2242835132678071,normal,normal
"(700, 750]",5.044,34.354,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.24581959230769,2.825347070996739,4.392385763846153,2.600089398419313,0.038289245524141854,0.2506122430059465,normal,normal
"(800, 850]",4.093,34.29,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.00392442635659,3.956373750363633,3.958379653488372,2.180926475497947,0.07230751988917003,0.061726219578718905,normal,normal
"(900, 950]",3.505,34.314,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.2507725,2.8285625235530056,3.5419125184615385,1.723817666833663,0.022353226938954987,-0.02141323828600746,normal,normal
"(1000, 1050]",3.29,34.376,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.54068110526316,0.15822170048041834,3.206120359649123,1.3165442627881805,-1.040825024400142,0.06371197894496669,normal,normal
"(1100, 1150]",3.131,34.438,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.50630883035714,0.6171547875133911,2.9362657872321427,1.086290332320882,-0.1106834650547977,0.17926534644914255,normal,normal
"(1150, 1200]",3.063,34.498,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.52532062608696,0.6088312159954765,2.7958508507826085,0.9859684304598152,-0.04487389176044545,0.2709510172580315,normal,normal
"(1300, 1350]",2.942,34.541,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.55807843636364,0.6166358515023171,2.5258289886363636,0.7925255361134756,-0.02769614566203318,0.5251200023213488,normal,normal
"(1400, 1450]",2.861,34.576,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.575720396226416,0.6230868299569823,2.3946819043396226,0.7366590238609209,0.00044873966218179933,0.6330175570460631,normal,normal
"(1450, 1500]",2.746,34.617,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.594866946428574,0.6035514680124425,2.3039719374999996,0.7024637227159902,0.036671360678335305,0.6292539361192245,normal,normal
"(1600, 1650]",2.69,34.652,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.679617972222225,0.0798528046685411,2.1603381543518516,0.658611522017156,-0.3458610168655009,0.804209807969851,normal,normal
"(1700, 1750]",2.602,34.687,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.69263057281553,0.0662027586569725,2.0795062575728154,0.6611164054879111,-0.08505042583962899,0.7903203400943869,normal,normal
"(1800, 1850]",2.539,34.709,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.70680867307692,0.05171822581948962,2.0021375991346155,0.664795723056507,0.042370496828923125,0.8075599499904601,normal,normal
"(1850, 1900]",2.481,34.728,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.715109725663716,0.046323138919903244,1.9548377240707964,0.6580762101884648,0.27826858535157056,0.7995461130231667,normal,normal
"(0, 50]",24.755001,35.025497,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.09941681818182,0.502819255044029,23.967487545454546,1.4008609211435077,-0.14701071496426343,0.5621639112486738,normal,normal
"(50, 100]",24.64275,35.04575,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.17922536363636,0.44150563263011433,23.241854909090907,1.3081911374407194,-0.3023185974802448,1.070864226805369,normal,normal
"(100, 150]",22.52,35.2674,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.29703227272727,0.3478731770940619,21.210050636363636,1.4313992429717923,-0.08518125189990497,0.9151530364908664,normal,normal
"(150, 200]",20.2222,35.3936,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.34169472727273,0.3377212335215516,18.61064409090909,1.9261897421341583,0.1536926541041893,0.836654808111145,normal,normal
"(200, 250]",18.1924,35.3706,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.33796018181818,0.3778955577726459,16.85170181818182,1.760578556274213,0.08637259028447687,0.761510003084102,normal,normal
"(250, 300]",16.4026,35.3852,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.304742727272725,0.41333495915350266,15.551813545454547,1.3552379944190824,0.1946539264233705,0.6277764186430882,normal,normal
"(300, 350]",15.35,35.4422,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.23974463636364,0.41855726387020353,14.446676545454546,0.8971009833525341,0.4836981247544253,1.0069361992778851,normal,normal
"(350, 400]",14.129667,35.374,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.15516909090909,0.4176628308341501,13.530400318181819,0.5858792257346053,0.5239415455137955,1.0228501976099076,normal,normal
"(400, 450]",12.743,35.213,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,35.040130545454545,0.41404339183128946,12.579296363636365,0.39268821699362627,0.4175153086754132,0.41687942056660326,normal,normal
"(450, 500]",11.872,35.0885,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,34.919084399999996,0.4258406093374627,11.7870525,0.3041428816443556,0.39783805556635454,0.2793012926711601,normal,normal
"(500, 550]",10.822667,34.941,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,34.83398145454545,0.4042400217212999,11.020266454545455,0.36102427954926963,0.2647401041560749,-0.547330098663043,normal,normal
"(550, 600]",9.952,34.821,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,34.74061645454546,0.39072903454092034,10.283212909090908,0.37947136336946047,0.20572708539303453,-0.8728271513032013,normal,normal
"(600, 650]",9.386,34.7525,2020-09-04 14:24:03.999986432,2020,9,4,14:24:03.999986,-19.562,59.355,nodc_R1901325_328.nc,Western Indian Ocean,34.6567566,0.3942809423071839,9.653485700000001,0.3966970137893029,0.24283040270661313,-0.6742821112892748,normal,normal
